api-1  | INFO:     127.0.0.1:36198 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43812 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44860 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39230 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48180 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49090 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60562 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44962 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44248 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55806 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57704 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38526 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36784 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52758 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41736 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43508 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47404 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48156 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33230 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34644 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41146 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41528 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53072 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45172 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54426 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49268 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60500 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33368 - "GET /healthz HTTP/1.1" 200 OK
