api-1  | INFO:     127.0.0.1:59148 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42226 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49746 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55070 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57584 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58066 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56148 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44338 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34884 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60906 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52562 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53642 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49226 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43716 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47316 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50480 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48298 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41196 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55102 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53950 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34486 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34208 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53732 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37542 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43008 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52754 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40578 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     192.168.65.1:20823 - "GET /healthz HTTP/1.1" 200 OK
