comparison,n_available,available,mean_delta,median_delta,bootstrap_95_ci,positive_case_count,negative_case_count,zero_case_count,permutation_p,wilcoxon_p,effect_direction,availability_denominator,holm_adjusted_p
B-A,12,True,0.0003988149413570406,-1.3521975526186586e-05,"[-1.3642823484925556e-05, 0.0008115256053179611]",3,9,0,0.25,0.67724609375,POSITIVE,12,0.25
C-B,10,True,0.47508559639836867,0.6368797809462079,"[0.30693010547411514, 0.6402166923709636]",8,0,2,0.0078125,0.0078125,POSITIVE,10,0.0234375
D-C,10,True,-0.44861281882774084,-0.5736336615908195,"[-0.5989420004279526, -0.2761904541252633]",2,8,0,0.0078125,0.009765625,NEGATIVE,10,0.0234375
