case_id,video_status,video_path,video_kind,ffmpeg_message
forest_bird_branch_001,created,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/cases/forest_bird_branch_001/input_video.mp4,synthetic_placeholder_video,"   skip:100.0%
[libx264 @ 0x64e2515c9e80] mb B  I16..4:  0.0%  0.0%  0.0%  B16..8:  0.0%  0.0%  0.0%  direct: 0.0%  skip:100.0%  L0: 0.0% L1:100.0% BI: 0.0%
[libx264 @ 0x64e2515c9e80] 8x8 transform intra:86.8% inter:2.8%
[libx264 @ 0x64e2515c9e80] coded y,uvDC,uvAC intra: 3.4% 0.0% 0.0% inter: 0.0% 0.0% 0.0%
[libx264 @ 0x64e2515c9e80] i16 v,h,dc,p: 73%  0% 27%  0%
[libx264 @ 0x64e2515c9e80] i8 v,h,dc,ddl,ddr,vr,hd,vl,hu: 82% 15%  3%  0%  0%  0%  0%  0%  0%
[libx264 @ 0x64e2515c9e80] i4 v,h,dc,ddl,ddr,vr,hd,vl,hu: 45% 16% 23%  1%  3%  3%  2%  4%  3%
[libx264 @ 0x64e2515c9e80] i8c dc,h,v,p: 100%  0%  0%  0%
[libx264 @ 0x64e2515c9e80] Weighted P-Frames: Y:0.0% UV:0.0%
[libx264 @ 0x64e2515c9e80] ref B L1: 96.7%  3.3%
[libx264 @ 0x64e2515c9e80] kb/s:16.38
[aac @ 0x64e2515eb300] Qavg: 65536.000
"
glass_drop_room_001,created,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/cases/glass_drop_room_001/input_video.mp4,synthetic_placeholder_video,"irect: 0.0%  skip:100.0%  L0:46.4% L1:53.6% BI: 0.0%
[libx264 @ 0x580aa7815f80] 8x8 transform intra:86.7% inter:5.0%
[libx264 @ 0x580aa7815f80] coded y,uvDC,uvAC intra: 3.3% 0.0% 0.0% inter: 0.0% 0.0% 0.0%
[libx264 @ 0x580aa7815f80] i16 v,h,dc,p: 73%  0% 27%  0%
[libx264 @ 0x580aa7815f80] i8 v,h,dc,ddl,ddr,vr,hd,vl,hu: 89%  7%  4%  0%  0%  0%  0%  0%  0%
[libx264 @ 0x580aa7815f80] i4 v,h,dc,ddl,ddr,vr,hd,vl,hu: 44% 18% 19%  2%  3%  4%  4%  3%  3%
[libx264 @ 0x580aa7815f80] i8c dc,h,v,p: 100%  0%  0%  0%
[libx264 @ 0x580aa7815f80] Weighted P-Frames: Y:0.0% UV:0.0%
[libx264 @ 0x580aa7815f80] ref P L0: 93.9%  3.7%  2.4%
[libx264 @ 0x580aa7815f80] ref B L0: 51.8% 48.2%
[libx264 @ 0x580aa7815f80] ref B L1: 99.0%  1.0%
[libx264 @ 0x580aa7815f80] kb/s:18.20
[aac @ 0x580aa784d3c0] Qavg: 65536.000
"
kitchen_chop_sizzle_001,created,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/cases/kitchen_chop_sizzle_001/input_video.mp4,synthetic_placeholder_video,":  0.0%  0.0%  0.0%  B16..8:  0.0%  0.0%  0.0%  direct: 0.0%  skip:100.0%  L0: 1.1% L1:98.9% BI: 0.0%
[libx264 @ 0x585e0a534e80] 8x8 transform intra:86.7% inter:1.9%
[libx264 @ 0x585e0a534e80] coded y,uvDC,uvAC intra: 3.3% 0.0% 0.0% inter: 0.0% 0.0% 0.0%
[libx264 @ 0x585e0a534e80] i16 v,h,dc,p: 73%  0% 27%  0%
[libx264 @ 0x585e0a534e80] i8 v,h,dc,ddl,ddr,vr,hd,vl,hu: 90%  7%  3%  0%  0%  0%  0%  0%  0%
[libx264 @ 0x585e0a534e80] i4 v,h,dc,ddl,ddr,vr,hd,vl,hu: 42% 18% 22%  2%  4%  4%  2%  4%  3%
[libx264 @ 0x585e0a534e80] i8c dc,h,v,p: 100%  0%  0%  0%
[libx264 @ 0x585e0a534e80] Weighted P-Frames: Y:0.0% UV:0.0%
[libx264 @ 0x585e0a534e80] ref P L0: 98.2%  0.0%  1.8%
[libx264 @ 0x585e0a534e80] ref B L1: 98.8%  1.2%
[libx264 @ 0x585e0a534e80] kb/s:14.94
[aac @ 0x585e0a5480c0] Qavg: 65536.000
"
robot_warehouse_pick_001,created,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/cases/robot_warehouse_pick_001/input_video.mp4,synthetic_placeholder_video,"irect: 0.0%  skip:100.0%  L0:54.9% L1:45.1% BI: 0.0%
[libx264 @ 0x5803d1d31e80] 8x8 transform intra:86.7% inter:1.8%
[libx264 @ 0x5803d1d31e80] coded y,uvDC,uvAC intra: 3.3% 0.0% 0.0% inter: 0.0% 0.0% 0.0%
[libx264 @ 0x5803d1d31e80] i16 v,h,dc,p: 73%  0% 27%  0%
[libx264 @ 0x5803d1d31e80] i8 v,h,dc,ddl,ddr,vr,hd,vl,hu: 92%  5%  3%  0%  0%  0%  0%  0%  0%
[libx264 @ 0x5803d1d31e80] i4 v,h,dc,ddl,ddr,vr,hd,vl,hu: 43% 17% 21%  2%  3%  4%  3%  4%  3%
[libx264 @ 0x5803d1d31e80] i8c dc,h,v,p: 100%  0%  0%  0%
[libx264 @ 0x5803d1d31e80] Weighted P-Frames: Y:0.0% UV:0.0%
[libx264 @ 0x5803d1d31e80] ref P L0: 96.4%  0.0%  3.6%
[libx264 @ 0x5803d1d31e80] ref B L0:  1.6% 98.4%
[libx264 @ 0x5803d1d31e80] ref B L1: 89.2% 10.8%
[libx264 @ 0x5803d1d31e80] kb/s:21.25
[aac @ 0x5803d1d45680] Qavg: 65536.000
"
street_rain_crosswalk_001,exists,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/cases/street_rain_crosswalk_001/input_video.mp4,local_video,
subway_arrival_door_001,created,/home/GRT/work/grt_work/audio_engineering_repo_skeleton_v1/cases/subway_arrival_door_001/input_video.mp4,synthetic_placeholder_video,"irect: 0.0%  skip:100.0%  L0: 8.1% L1:91.9% BI: 0.0%
[libx264 @ 0x61bf157f7f80] 8x8 transform intra:61.2% inter:0.0%
[libx264 @ 0x61bf157f7f80] coded y,uvDC,uvAC intra: 3.3% 0.0% 0.0% inter: 0.0% 0.0% 0.0%
[libx264 @ 0x61bf157f7f80] i16 v,h,dc,p: 92%  1%  7%  0%
[libx264 @ 0x61bf157f7f80] i8 v,h,dc,ddl,ddr,vr,hd,vl,hu: 92%  4%  5%  0%  0%  0%  0%  0%  0%
[libx264 @ 0x61bf157f7f80] i4 v,h,dc,ddl,ddr,vr,hd,vl,hu: 46% 16% 20%  2%  2%  4%  3%  4%  3%
[libx264 @ 0x61bf157f7f80] i8c dc,h,v,p: 100%  0%  0%  0%
[libx264 @ 0x61bf157f7f80] Weighted P-Frames: Y:0.0% UV:0.0%
[libx264 @ 0x61bf157f7f80] ref P L0: 95.9%  0.0%  4.1%
[libx264 @ 0x61bf157f7f80] ref B L0: 27.3% 72.7%
[libx264 @ 0x61bf157f7f80] ref B L1: 98.4%  1.6%
[libx264 @ 0x61bf157f7f80] kb/s:20.35
[aac @ 0x61bf1582b640] Qavg: 65536.000
"
