failure_id,parent_candidate_id,source_mode,repair_action,before_artifact,after_artifact,target_window_rms_delta_db,outside_window_rms_delta_db,sample_peak_delta,clip_ratio_delta,duration_error_ms,boundary_jump_before,boundary_jump_after,changed_sample_ratio,ordering_correct,lineage_complete,output_readable,severe_regression,semantic_target_satisfied,forbidden_event_status,needs_manual_review,decision,reason
fb_003,robot_warehouse_pick_001|dss_event_timeline,mixed_only,smooth_region_attenuation,artifacts/repair/layer_semantic_20260715/fb_003/before.wav,artifacts/repair/layer_semantic_20260715/fb_003/after.wav,-1.607175660962641,0.0,0.0,0.0,0.0,0.0728759765625,0.0728759765625,0.1195212804524362,true,true,true,false,true,unknown,true,PROXY_PROMOTION,proxy target and acoustic guards passed; human semantic review still required
fb_011,glass_drop_room_001|naive_rich,mixed_only,event_region_gain,artifacts/repair/layer_semantic_20260715/fb_011/before.wav,artifacts/repair/layer_semantic_20260715/fb_011/after.wav,1.1893643575405912,0.0,0.0,0.0,0.0,0.00341796875,0.00341796875,0.020595703125,true,true,true,false,true,unknown,true,PROXY_PROMOTION,proxy target and acoustic guards passed; human semantic review still required
hn_002,subway_arrival_door_001|dss_layer_avoid,mixed_only,event_region_gain,artifacts/repair/layer_semantic_20260715/hn_002/before.wav,artifacts/repair/layer_semantic_20260715/hn_002/after.wav,1.5265552661467543,0.0,0.1416015625,0.0,0.0,0.0819091796875,0.0819091796875,0.13420854756437092,true,true,true,false,true,unknown,true,PROXY_PROMOTION,proxy target and acoustic guards passed; human semantic review still required
hn_003,subway_arrival_door_001|dss_event_timeline,mixed_only,event_region_gain,artifacts/repair/layer_semantic_20260715/hn_003/before.wav,artifacts/repair/layer_semantic_20260715/hn_003/after.wav,1.519206411119346,0.0,0.1416015625,0.0,0.0,0.033172607421875,0.033172607421875,0.13475311160987555,true,true,true,false,true,unknown,true,PROXY_PROMOTION,proxy target and acoustic guards passed; human semantic review still required
