case_id,strategy_id,candidate_digest,r0_rule_score,r1_learned_score,r2_interaction_score,r3_hybrid_score,selected_candidate,recommendation_status,runner_up_score,margin,guard_status,defer_reason,human_support,interaction_feature_count,final_selected_mutation
fb_005_transplant_v1,C,sha256:29956405f600760a071c699af399b638d09b830afb6c408e527b7644d281b97b,-0.525031689237004,,,,,PUBLISH_BLOCKED,,,BLOCKED,PUBLISH_DECISION_BLOCKED|DURATION_MISMATCH,UNOBSERVED,4,0
fb_005_transplant_v1,D,sha256:264c9ae21730dda35c2d1e14e972535f1533758ef3240525f5f184df08134249,-0.5257537868079287,,,,,PUBLISH_BLOCKED,,,BLOCKED,PUBLISH_DECISION_BLOCKED|DURATION_MISMATCH,UNOBSERVED,4,0
fb_006_tuesday_repair,A,sha256:904c785320b7f06981bf3fb456911292df7fa29e048ae72a66e5b8e9124b6364,-12.22649931359337,,,,sha256:65786473598076b752b319930eb261f27e2b79dfbdfe7da1acfe3fe41289103d,PUBLISH_BLOCKED,-3.522826960846254,0.1259211168693355,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_006_tuesday_repair,B,sha256:904c785320b7f06981bf3fb456911292df7fa29e048ae72a66e5b8e9124b6364,-12.22649931359337,,,,sha256:65786473598076b752b319930eb261f27e2b79dfbdfe7da1acfe3fe41289103d,PUBLISH_BLOCKED,-3.522826960846254,0.1259211168693355,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_006_tuesday_repair,C,sha256:65786473598076b752b319930eb261f27e2b79dfbdfe7da1acfe3fe41289103d,-3.3969058439769184,,,,sha256:65786473598076b752b319930eb261f27e2b79dfbdfe7da1acfe3fe41289103d,ABLATION_DATA_BLOCKED,-3.522826960846254,0.1259211168693355,PASS,REAL_OOF_MODEL_UNAVAILABLE,UNOBSERVED,4,0
fb_006_tuesday_repair,D,sha256:49e1d5406dd8f0626f38bc43a47ce80c02a2f014651568931305016e6ee30fde,-3.522826960846254,,,,sha256:65786473598076b752b319930eb261f27e2b79dfbdfe7da1acfe3fe41289103d,ABLATION_DATA_BLOCKED,-3.522826960846254,0.1259211168693355,PASS,REAL_OOF_MODEL_UNAVAILABLE,UNOBSERVED,4,0
fb_007_tuesday_repair,A,sha256:0fa297b7ee3fecbac7edbe3d5032db1be07f27e7e3c729b628445a412b6fae39,-6.9128535546019645,,,,sha256:5b222294d3d882aef051e4eebc7eb88cac5b2c8dd92c61ecb10b45d902b5525a,PUBLISH_BLOCKED,-2.188372486974726,0.11625912390461712,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_007_tuesday_repair,B,sha256:0fa297b7ee3fecbac7edbe3d5032db1be07f27e7e3c729b628445a412b6fae39,-6.9128535546019645,,,,sha256:5b222294d3d882aef051e4eebc7eb88cac5b2c8dd92c61ecb10b45d902b5525a,PUBLISH_BLOCKED,-2.188372486974726,0.11625912390461712,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_007_tuesday_repair,C,sha256:5b222294d3d882aef051e4eebc7eb88cac5b2c8dd92c61ecb10b45d902b5525a,-2.072113363070109,,,,sha256:5b222294d3d882aef051e4eebc7eb88cac5b2c8dd92c61ecb10b45d902b5525a,ABLATION_DATA_BLOCKED,-2.188372486974726,0.11625912390461712,PASS,REAL_OOF_MODEL_UNAVAILABLE,UNOBSERVED,4,0
fb_007_tuesday_repair,D,sha256:cf299864a1529d942c49ee4fe9a6c011743874630e6f76c9e3a8e8970bfa48b4,-2.188372486974726,,,,sha256:5b222294d3d882aef051e4eebc7eb88cac5b2c8dd92c61ecb10b45d902b5525a,ABLATION_DATA_BLOCKED,-2.188372486974726,0.11625912390461712,PASS,REAL_OOF_MODEL_UNAVAILABLE,UNOBSERVED,4,0
fb_009_tuesday_repair,A,sha256:918f31f60ee948b8f0517216852edbf7f04de614a11bd6e37b21cfa04b02a0bf,-4.143790679789123,,,,sha256:3ca9e8078c88fda925b71a5ea40c29b940f23c8ee0b4165764ad43b964feb6b9,PUBLISH_BLOCKED,-5.741629153626627,0.10218361620428418,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_009_tuesday_repair,B,sha256:918f31f60ee948b8f0517216852edbf7f04de614a11bd6e37b21cfa04b02a0bf,-4.143790679789123,,,,sha256:3ca9e8078c88fda925b71a5ea40c29b940f23c8ee0b4165764ad43b964feb6b9,PUBLISH_BLOCKED,-5.741629153626627,0.10218361620428418,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_009_tuesday_repair,C,sha256:3ca9e8078c88fda925b71a5ea40c29b940f23c8ee0b4165764ad43b964feb6b9,-5.6394455374223424,,,,sha256:3ca9e8078c88fda925b71a5ea40c29b940f23c8ee0b4165764ad43b964feb6b9,ABLATION_DATA_BLOCKED,-5.741629153626627,0.10218361620428418,PASS,REAL_OOF_MODEL_UNAVAILABLE,UNOBSERVED,4,0
fb_009_tuesday_repair,D,sha256:c2ae680ef14d734f658333735898c7ea7cd576f4070b51a107716fcdb82afc69,-5.741629153626627,,,,sha256:3ca9e8078c88fda925b71a5ea40c29b940f23c8ee0b4165764ad43b964feb6b9,ABLATION_DATA_BLOCKED,-5.741629153626627,0.10218361620428418,PASS,REAL_OOF_MODEL_UNAVAILABLE,UNOBSERVED,4,0
fb_010_tuesday_repair,A,sha256:50a017c1c5b9994e49a37446e3af9777796262bb6a1158c277c8bbdf12db549f,-8.92493729290561,,,,sha256:2eb7189de4d66bf9d00ff5183964ddb3b2de62804409729211f0480eb2c97a09,PUBLISH_BLOCKED,-5.754965186809877,0.10189686651662022,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_010_tuesday_repair,B,sha256:50a017c1c5b9994e49a37446e3af9777796262bb6a1158c277c8bbdf12db549f,-8.92493729290561,,,,sha256:2eb7189de4d66bf9d00ff5183964ddb3b2de62804409729211f0480eb2c97a09,PUBLISH_BLOCKED,-5.754965186809877,0.10189686651662022,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_010_tuesday_repair,C,sha256:2eb7189de4d66bf9d00ff5183964ddb3b2de62804409729211f0480eb2c97a09,-5.653068320293257,,,,sha256:2eb7189de4d66bf9d00ff5183964ddb3b2de62804409729211f0480eb2c97a09,ABLATION_DATA_BLOCKED,-5.754965186809877,0.10189686651662022,PASS,REAL_OOF_MODEL_UNAVAILABLE,UNOBSERVED,4,0
fb_010_tuesday_repair,D,sha256:bd875fd476155358b8e363a9a4c1d62654a15489a38c94ededec2dff403c6623,-5.754965186809877,,,,sha256:2eb7189de4d66bf9d00ff5183964ddb3b2de62804409729211f0480eb2c97a09,ABLATION_DATA_BLOCKED,-5.754965186809877,0.10189686651662022,PASS,REAL_OOF_MODEL_UNAVAILABLE,UNOBSERVED,4,0
fb_011_semantic_repair,A,sha256:c04e9c0db9a5a484e8df721d445484f2227c31f6cc1397535d0258e99becdb22,-8.92649931359337,,,,,PUBLISH_BLOCKED,,,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_011_semantic_repair,B,sha256:c04e9c0db9a5a484e8df721d445484f2227c31f6cc1397535d0258e99becdb22,-8.92649931359337,,,,,PUBLISH_BLOCKED,,,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_011_semantic_repair,C,sha256:c04e9c0db9a5a484e8df721d445484f2227c31f6cc1397535d0258e99becdb22,-8.92649931359337,,,,,PUBLISH_BLOCKED,,,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_011_semantic_repair,D,sha256:d2dcef398a6c1f178bb6a391d34732bdbf77d93743b074c155ff542483d738e9,-9.02991290758239,,,,,PUBLISH_BLOCKED,,,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_011_tuesday_repair,A,sha256:ac239dba3cdee9abc85bf597d2d37eeff3f135d9f1b0c86f10f1cedbc88481bf,-8.926812002274444,,,,,PUBLISH_BLOCKED,,,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_011_tuesday_repair,B,sha256:ac239dba3cdee9abc85bf597d2d37eeff3f135d9f1b0c86f10f1cedbc88481bf,-8.926812002274444,,,,,PUBLISH_BLOCKED,,,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_011_tuesday_repair,C,sha256:ac239dba3cdee9abc85bf597d2d37eeff3f135d9f1b0c86f10f1cedbc88481bf,-8.926812002274444,,,,,PUBLISH_BLOCKED,,,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_011_tuesday_repair,D,sha256:776499a69290a81cf419ec64133f8b06a4874b769d3ffb0eacd3de422d59dfe9,-9.029600594670034,,,,,PUBLISH_BLOCKED,,,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_012_tuesday_repair,A,sha256:6c5e3331bb27ccc1f72d25601390b70a939bcf2afc75dffa8f5c97cd38a71313,-10.026812002274443,,,,sha256:67c9f436b13d3375a9e3c8a5a5b1fbe7eb563ebdd2ed3fee19465831470c217f,PUBLISH_BLOCKED,0.5054072122806696,0.10259543265060134,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_012_tuesday_repair,B,sha256:cec7e668b9b089bef96dcd321552c131d868f16538c722bc2725b2ea664c5803,-10.02747179105265,,,,sha256:67c9f436b13d3375a9e3c8a5a5b1fbe7eb563ebdd2ed3fee19465831470c217f,PUBLISH_BLOCKED,0.5054072122806696,0.10259543265060134,BLOCKED,DURATION_MISMATCH,UNOBSERVED,4,0
fb_012_tuesday_repair,C,sha256:67c9f436b13d3375a9e3c8a5a5b1fbe7eb563ebdd2ed3fee19465831470c217f,0.608002644931271,,,,sha256:67c9f436b13d3375a9e3c8a5a5b1fbe7eb563ebdd2ed3fee19465831470c217f,ABLATION_DATA_BLOCKED,0.5054072122806696,0.10259543265060134,PASS,REAL_OOF_MODEL_UNAVAILABLE,UNOBSERVED,4,0
fb_012_tuesday_repair,D,sha256:309d37aac5f7db6579d24137c7e81d10a4080a3117097a523bb5ece95f3d3407,0.5054072122806696,,,,sha256:67c9f436b13d3375a9e3c8a5a5b1fbe7eb563ebdd2ed3fee19465831470c217f,ABLATION_DATA_BLOCKED,0.5054072122806696,0.10259543265060134,PASS,REAL_OOF_MODEL_UNAVAILABLE,UNOBSERVED,4,0
