case_id,candidate_id,source_label,video_conditioned,readable,eligible_for_rerank,winner_hint,reject_reason,repair_action,artifact_path,duration_sec,rms,peak,silence_ratio,score
subway_arrival_door_001,subway_arrival_door_001__control_rule_foley_v0,control_seed,false,true,true,false,,,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/subway_arrival_door_001/subway_arrival_door_001__control_rule_foley_v0.wav,,,,0.056891,1.0
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__repair_seed__unknown,repair_seed,false,false,false,false,,,,,,,,
glass_drop_room_001,glass_drop_room_001__mmaudio__true_replacement_v0,true_mmaudio_attempt,false,false,false,false,true_mmaudio_attempt_not_readable_or_not_generated,,,0,0,0,1,
forest_bird_branch_001,forest_bird_branch_001__mmaudio__dss_avoid_priority,fallback_mmaudio_baseline,false,true,true,false,,,experiments/mmaudio_baseline_2026_06_30/candidates/forest_bird_branch_001__mmaudio__dss_avoid_priority.wav,,,,,
forest_bird_branch_001,forest_bird_branch_001__mmaudio__dss_compact,fallback_mmaudio_baseline,false,true,true,false,,,experiments/mmaudio_baseline_2026_06_30/candidates/forest_bird_branch_001__mmaudio__dss_compact.wav,,,,,
glass_drop_room_001,glass_drop_room_001__mmaudio__dss_avoid_priority,fallback_mmaudio_baseline,false,true,true,false,,,experiments/mmaudio_baseline_2026_06_30/candidates/glass_drop_room_001__mmaudio__dss_avoid_priority.wav,,,,,
glass_drop_room_001,glass_drop_room_001__mmaudio__dss_compact,fallback_mmaudio_baseline,false,true,true,false,,,experiments/mmaudio_baseline_2026_06_30/candidates/glass_drop_room_001__mmaudio__dss_compact.wav,,,,,
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__mmaudio__dss_avoid_priority,fallback_mmaudio_baseline,false,true,true,false,,,experiments/mmaudio_baseline_2026_06_30/candidates/kitchen_chop_sizzle_001__mmaudio__dss_avoid_priority.wav,,,,,
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__mmaudio__dss_compact,fallback_mmaudio_baseline,false,true,true,false,,,experiments/mmaudio_baseline_2026_06_30/candidates/kitchen_chop_sizzle_001__mmaudio__dss_compact.wav,,,,,
robot_warehouse_pick_001,robot_warehouse_pick_001__mmaudio__dss_avoid_priority,fallback_mmaudio_baseline,false,true,true,false,,,experiments/mmaudio_baseline_2026_06_30/candidates/robot_warehouse_pick_001__mmaudio__dss_avoid_priority.wav,,,,,
robot_warehouse_pick_001,robot_warehouse_pick_001__mmaudio__dss_compact,fallback_mmaudio_baseline,false,true,true,false,,,experiments/mmaudio_baseline_2026_06_30/candidates/robot_warehouse_pick_001__mmaudio__dss_compact.wav,,,,,
street_rain_crosswalk_001,street_rain_crosswalk_001__mmaudio__dss_avoid_priority,fallback_mmaudio_baseline,false,true,true,false,,,experiments/mmaudio_baseline_2026_06_30/candidates/street_rain_crosswalk_001__mmaudio__dss_avoid_priority.wav,,,,,
