case_id,variant,job_id,priority,reason,status,rms_dbfs,peak_dbfs,clipped_ratio,active_ratio,wav_path,flac_path
robot_warehouse_pick_001,naive,w18_016_robot_warehouse_pick_001_naive,normal,,ok,-18.0394,-0.3109,0.0,0.91639175,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive/w18_016_robot_warehouse_pick_001_naive.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive/w18_016_robot_warehouse_pick_001_naive.flac
robot_warehouse_pick_001,naive_rich,w18_017_robot_warehouse_pick_001_naive_rich,normal,,ok,-14.0528,-0.206,0.0,0.88171812,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive_rich/w18_017_robot_warehouse_pick_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive_rich/w18_017_robot_warehouse_pick_001_naive_rich.flac
robot_warehouse_pick_001,dss_global,w18_018_robot_warehouse_pick_001_dss_global,listen_review,near_full_scale_peak,ok,-14.1672,-0.034,0.0,0.87007414,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/w18_018_robot_warehouse_pick_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/w18_018_robot_warehouse_pick_001_dss_global.flac
robot_warehouse_pick_001,dss_event_timeline,w18_019_robot_warehouse_pick_001_dss_event_timeline,normal,,ok,-22.7657,-7.1032,0.0,0.87177123,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.flac
robot_warehouse_pick_001,dss_layer_avoid,w18_020_robot_warehouse_pick_001_dss_layer_avoid,normal,,ok,-16.7288,-1.4757,0.0,0.86994499,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_layer_avoid/w18_020_robot_warehouse_pick_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_layer_avoid/w18_020_robot_warehouse_pick_001_dss_layer_avoid.flac
street_rain_crosswalk_001,naive,w18_021_street_rain_crosswalk_001_naive,listen_review,near_full_scale_peak|very_loud_rms,ok,-11.5997,0.0,1.015e-05,0.99960177,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive/w18_021_street_rain_crosswalk_001_naive.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive/w18_021_street_rain_crosswalk_001_naive.flac
street_rain_crosswalk_001,naive_rich,w18_022_street_rain_crosswalk_001_naive_rich,normal,,ok,-16.952,-2.3641,0.0,0.99926948,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive_rich/w18_022_street_rain_crosswalk_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive_rich/w18_022_street_rain_crosswalk_001_naive_rich.flac
street_rain_crosswalk_001,dss_global,w18_023_street_rain_crosswalk_001_dss_global,listen_review,near_full_scale_peak|very_loud_rms,ok,-10.0348,0.0,7.356e-05,0.99971084,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_global/w18_023_street_rain_crosswalk_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_global/w18_023_street_rain_crosswalk_001_dss_global.flac
street_rain_crosswalk_001,dss_event_timeline,w18_024_street_rain_crosswalk_001_dss_event_timeline,normal,,ok,-16.5888,-3.0593,0.0,0.99935319,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_event_timeline/w18_024_street_rain_crosswalk_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_event_timeline/w18_024_street_rain_crosswalk_001_dss_event_timeline.flac
street_rain_crosswalk_001,dss_layer_avoid,w18_025_street_rain_crosswalk_001_dss_layer_avoid,normal,,ok,-16.1286,-2.8684,0.0,0.99949523,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_layer_avoid/w18_025_street_rain_crosswalk_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_layer_avoid/w18_025_street_rain_crosswalk_001_dss_layer_avoid.flac
subway_arrival_door_001,naive,w18_026_subway_arrival_door_001_naive,normal,,ok,-22.3956,-4.9374,0.0,0.94106864,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive/w18_026_subway_arrival_door_001_naive.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive/w18_026_subway_arrival_door_001_naive.flac
subway_arrival_door_001,naive_rich,w18_027_subway_arrival_door_001_naive_rich,normal,,ok,-15.7839,-0.2758,0.0,0.92633637,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive_rich/w18_027_subway_arrival_door_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive_rich/w18_027_subway_arrival_door_001_naive_rich.flac
subway_arrival_door_001,dss_global,w18_028_subway_arrival_door_001_dss_global,normal,,ok,-16.0454,-0.1713,0.0,0.92586962,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_global/w18_028_subway_arrival_door_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_global/w18_028_subway_arrival_door_001_dss_global.flac
subway_arrival_door_001,dss_event_timeline,w18_029_subway_arrival_door_001_dss_event_timeline,repair_or_regenerate,clipping_review|near_full_scale_peak|clipping_ratio_gt_0.001|very_loud_rms,clipping_review,-9.6374,0.0,0.00260341,0.88923833,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_event_timeline/w18_029_subway_arrival_door_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_event_timeline/w18_029_subway_arrival_door_001_dss_event_timeline.flac
subway_arrival_door_001,dss_layer_avoid,w18_030_subway_arrival_door_001_dss_layer_avoid,repair_or_regenerate,clipping_review|near_full_scale_peak|clipping_ratio_gt_0.001|very_loud_rms,clipping_review,-10.2822,0.0,0.00129831,0.89343687,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_layer_avoid/w18_030_subway_arrival_door_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_layer_avoid/w18_030_subway_arrival_door_001_dss_layer_avoid.flac
