pair_id,case_id,kind,left_strategy,right_strategy,left_digest,right_digest,block_id,display_index
pair_df78e7aaf7d63ca4,fb_005_transplant_v1,UNIQUE,B,A,sha256:fd66f6a28daa8a3f08888100da2ea540a7745e333228761ee081289a8a7e4a07,sha256:50a017c1c5b9994e49a37446e3af9777796262bb6a1158c277c8bbdf12db549f,block-2,24
pair_30bbaabb1b3722ce,fb_012_tuesday_repair,UNIQUE,C,D,sha256:67c9f436b13d3375a9e3c8a5a5b1fbe7eb563ebdd2ed3fee19465831470c217f,sha256:309d37aac5f7db6579d24137c7e81d10a4080a3117097a523bb5ece95f3d3407,block-3,25
pair_be49a6347aa1fea2,fb_011_semantic_repair,UNIQUE,D,C,sha256:d2dcef398a6c1f178bb6a391d34732bdbf77d93743b074c155ff542483d738e9,sha256:c04e9c0db9a5a484e8df721d445484f2227c31f6cc1397535d0258e99becdb22,block-3,26
pair_2869ddb39a4a3363,fb_006_tuesday_repair,UNIQUE,A,D,sha256:904c785320b7f06981bf3fb456911292df7fa29e048ae72a66e5b8e9124b6364,sha256:49e1d5406dd8f0626f38bc43a47ce80c02a2f014651568931305016e6ee30fde,block-3,27
pair_dde79f241c96bbde,fb_007_tuesday_repair,UNIQUE,D,A,sha256:cf299864a1529d942c49ee4fe9a6c011743874630e6f76c9e3a8e8970bfa48b4,sha256:0fa297b7ee3fecbac7edbe3d5032db1be07f27e7e3c729b628445a412b6fae39,block-3,28
pair_04767801e358563a,fb_005_transplant_v1,UNIQUE,B,C,sha256:fd66f6a28daa8a3f08888100da2ea540a7745e333228761ee081289a8a7e4a07,sha256:29956405f600760a071c699af399b638d09b830afb6c408e527b7644d281b97b,block-3,29
pair_a13cfbe38e146083,fb_011_tuesday_repair,UNIQUE,D,A,sha256:776499a69290a81cf419ec64133f8b06a4874b769d3ffb0eacd3de422d59dfe9,sha256:ac239dba3cdee9abc85bf597d2d37eeff3f135d9f1b0c86f10f1cedbc88481bf,block-3,30
pair_adb10110da32ff1b,fb_003_semantic_repair,UNIQUE,A,D,sha256:6c5e3331bb27ccc1f72d25601390b70a939bcf2afc75dffa8f5c97cd38a71313,sha256:923f175e84fb1678dd4d3c17a1df04c1669be49e8f130f16dbed429bae4a835d,block-3,31
pair_22250d77f408e36e,fb_004_transplant_v1,UNIQUE,D,C,sha256:8a005ac152a326d483723582e89732dbad7edde50c0314814621c3403d800836,sha256:65e8287b36bea92de3cff2aa411e5cce60ec9f48b7e33147d6298a666572a3c5,block-3,32
pair_39ebbe7a213513fd,fb_007_tuesday_repair,UNIQUE,C,B,sha256:5b222294d3d882aef051e4eebc7eb88cac5b2c8dd92c61ecb10b45d902b5525a,sha256:0fa297b7ee3fecbac7edbe3d5032db1be07f27e7e3c729b628445a412b6fae39,block-3,33
pair_766c191491a4cc05,fb_002_tuesday_repair,UNIQUE,B,C,sha256:5688631aa7ae39d6f0fa1b88a6e96cc2d37ae11cfbfe5b1a83c5171b84fec81a,sha256:ee86e7336556491776f67ec3c79fb715ced9cf194dfabc33ec00103859de1f21,block-3,34
pair_7b1d8f3306a1304f,fb_002_tuesday_repair,UNIQUE,A,D,sha256:5688631aa7ae39d6f0fa1b88a6e96cc2d37ae11cfbfe5b1a83c5171b84fec81a,sha256:1fbf8afdf9fe2de7481e3519ea12e7350020f18fe5fccce2dfdad65f9fbfe22d,block-3,35
pair_318790d80534ffc0,fb_012_tuesday_repair,UNIQUE,B,C,sha256:cec7e668b9b089bef96dcd321552c131d868f16538c722bc2725b2ea664c5803,sha256:67c9f436b13d3375a9e3c8a5a5b1fbe7eb563ebdd2ed3fee19465831470c217f,block-3,36
pair_474e2c99accdaf43,fb_001_tuesday_repair,HIDDEN_REPEAT,B,C,sha256:622ff408816735590911393428e74b041d56d73883e1d1765a354877e4f3bd17,sha256:a943c04eee778438d70468bbaa5533faa55ff4c72b426b0c6e71cb3f6e33f85b,block-4,37
pair_b4b1f0c25dc7e023,fb_009_tuesday_repair,HIDDEN_REPEAT,B,C,sha256:918f31f60ee948b8f0517216852edbf7f04de614a11bd6e37b21cfa04b02a0bf,sha256:3ca9e8078c88fda925b71a5ea40c29b940f23c8ee0b4165764ad43b964feb6b9,block-4,38
pair_7cdaa9073dabb711,fb_012_tuesday_repair,HIDDEN_REPEAT,D,C,sha256:309d37aac5f7db6579d24137c7e81d10a4080a3117097a523bb5ece95f3d3407,sha256:67c9f436b13d3375a9e3c8a5a5b1fbe7eb563ebdd2ed3fee19465831470c217f,block-4,39
pair_838d17ee148fb8f8,fb_005_transplant_v1,HIDDEN_REPEAT,A,B,sha256:50a017c1c5b9994e49a37446e3af9777796262bb6a1158c277c8bbdf12db549f,sha256:fd66f6a28daa8a3f08888100da2ea540a7745e333228761ee081289a8a7e4a07,block-4,40
pair_311533b29bccbb7f,fb_007_tuesday_repair,AUDIT,C,B,sha256:5b222294d3d882aef051e4eebc7eb88cac5b2c8dd92c61ecb10b45d902b5525a,sha256:0fa297b7ee3fecbac7edbe3d5032db1be07f27e7e3c729b628445a412b6fae39,block-4,41
pair_05ee75bc94ed43a6,fb_004_transplant_v1,HIDDEN_REPEAT,D,A,sha256:8a005ac152a326d483723582e89732dbad7edde50c0314814621c3403d800836,sha256:918f31f60ee948b8f0517216852edbf7f04de614a11bd6e37b21cfa04b02a0bf,block-4,42
pair_69f5cb291e57493a,fb_001_tuesday_repair,AUDIT,D,C,sha256:ea354414591a00a79019c24a78437e9733e7779222b492957cad18e7a8863ccf,sha256:a943c04eee778438d70468bbaa5533faa55ff4c72b426b0c6e71cb3f6e33f85b,block-4,43
pair_659201ab28104722,fb_003_semantic_repair,AUDIT,D,A,sha256:923f175e84fb1678dd4d3c17a1df04c1669be49e8f130f16dbed429bae4a835d,sha256:6c5e3331bb27ccc1f72d25601390b70a939bcf2afc75dffa8f5c97cd38a71313,block-4,44
pair_196a2d1244301af2,fb_001_tuesday_repair,HIDDEN_REPEAT,B,A,sha256:622ff408816735590911393428e74b041d56d73883e1d1765a354877e4f3bd17,sha256:5688631aa7ae39d6f0fa1b88a6e96cc2d37ae11cfbfe5b1a83c5171b84fec81a,block-4,45
pair_43a00210a88af541,fb_002_tuesday_repair,HIDDEN_REPEAT,D,A,sha256:1fbf8afdf9fe2de7481e3519ea12e7350020f18fe5fccce2dfdad65f9fbfe22d,sha256:5688631aa7ae39d6f0fa1b88a6e96cc2d37ae11cfbfe5b1a83c5171b84fec81a,block-4,46
pair_a9faa73451cf2355,fb_001_tuesday_repair,AUDIT,A,B,sha256:5688631aa7ae39d6f0fa1b88a6e96cc2d37ae11cfbfe5b1a83c5171b84fec81a,sha256:622ff408816735590911393428e74b041d56d73883e1d1765a354877e4f3bd17,block-4,47
pair_8d4a40fa971dd9a3,fb_009_tuesday_repair,HIDDEN_REPEAT,D,C,sha256:c2ae680ef14d734f658333735898c7ea7cd576f4070b51a107716fcdb82afc69,sha256:3ca9e8078c88fda925b71a5ea40c29b940f23c8ee0b4165764ad43b964feb6b9,block-4,48
