case_id,variant,job_id,source_wav,repaired_wav,source_peak_dbfs,source_clipped_ratio,gain,new_peak_dbfs,new_rms_dbfs,new_clipped_ratio,status
subway_arrival_door_001,dss_event_timeline,w18_029_subway_arrival_door_001_dss_event_timeline,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_event_timeline/w18_029_subway_arrival_door_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_event_timeline/w18_029_subway_arrival_door_001_dss_event_timeline_repaired_peak_m3db.wav,0.0,0.00260341,0.70794578,-3.0,-12.6374,0.0,success
subway_arrival_door_001,dss_layer_avoid,w18_030_subway_arrival_door_001_dss_layer_avoid,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_layer_avoid/w18_030_subway_arrival_door_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_layer_avoid/w18_030_subway_arrival_door_001_dss_layer_avoid_repaired_peak_m3db.wav,0.0,0.00129831,0.70794578,-3.0,-13.2822,0.0,success
