case_id,variant,job_id,generation_duration_sec,prompt_chars,flac_exists,flac_size_bytes,wav_exists,wav_size_bytes,sample_rate,duration_sec,rms_dbfs,peak_dbfs,clipped_ratio,active_ratio,status,flac_path,wav_path
kitchen_chop_sizzle_001,dss_layer_avoid,w18_015_kitchen_chop_sizzle_001_dss_layer_avoid,10.0,922,True,424301,True,878670,44100,9.9614,-23.2495,-0.1024,0.0,0.92778218,ok,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_layer_avoid/w18_015_kitchen_chop_sizzle_001_dss_layer_avoid.flac,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_layer_avoid/w18_015_kitchen_chop_sizzle_001_dss_layer_avoid.wav
robot_warehouse_pick_001,naive,w18_016_robot_warehouse_pick_001_naive,10.0,228,True,474093,True,882766,44100,10.0078,-18.0394,-0.3109,0.0,0.91639175,ok,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive/w18_016_robot_warehouse_pick_001_naive.flac,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive/w18_016_robot_warehouse_pick_001_naive.wav
robot_warehouse_pick_001,naive_rich,w18_017_robot_warehouse_pick_001_naive_rich,10.0,556,True,524609,True,882766,44100,10.0078,-14.0528,-0.206,0.0,0.88171812,ok,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive_rich/w18_017_robot_warehouse_pick_001_naive_rich.flac,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive_rich/w18_017_robot_warehouse_pick_001_naive_rich.wav
robot_warehouse_pick_001,dss_global,w18_018_robot_warehouse_pick_001_dss_global,10.0,304,True,483227,True,882766,44100,10.0078,-14.1672,-0.034,0.0,0.87007414,ok,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/w18_018_robot_warehouse_pick_001_dss_global.flac,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/w18_018_robot_warehouse_pick_001_dss_global.wav
robot_warehouse_pick_001,dss_event_timeline,w18_019_robot_warehouse_pick_001_dss_event_timeline,10.0,781,True,486732,True,882766,44100,10.0078,-22.7657,-7.1032,0.0,0.87177123,ok,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.flac,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.wav
robot_warehouse_pick_001,dss_layer_avoid,w18_020_robot_warehouse_pick_001_dss_layer_avoid,10.0,925,True,511131,True,882766,44100,10.0078,-16.7288,-1.4757,0.0,0.86994499,ok,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_layer_avoid/w18_020_robot_warehouse_pick_001_dss_layer_avoid.flac,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_layer_avoid/w18_020_robot_warehouse_pick_001_dss_layer_avoid.wav
street_rain_crosswalk_001,naive,w18_021_street_rain_crosswalk_001_naive,9.0,237,True,506788,True,788558,44100,8.9397,-11.5997,0.0,1.015e-05,0.99960177,ok,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive/w18_021_street_rain_crosswalk_001_naive.flac,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive/w18_021_street_rain_crosswalk_001_naive.wav
street_rain_crosswalk_001,naive_rich,w18_022_street_rain_crosswalk_001_naive_rich,9.0,600,True,519972,True,788558,44100,8.9397,-16.952,-2.3641,0.0,0.99926948,ok,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive_rich/w18_022_street_rain_crosswalk_001_naive_rich.flac,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive_rich/w18_022_street_rain_crosswalk_001_naive_rich.wav
street_rain_crosswalk_001,dss_global,w18_023_street_rain_crosswalk_001_dss_global,9.0,313,True,518648,True,788558,44100,8.9397,-10.0348,0.0,7.356e-05,0.99971084,ok,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_global/w18_023_street_rain_crosswalk_001_dss_global.flac,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_global/w18_023_street_rain_crosswalk_001_dss_global.wav
street_rain_crosswalk_001,dss_event_timeline,w18_024_street_rain_crosswalk_001_dss_event_timeline,9.0,826,True,526172,True,788558,44100,8.9397,-16.5888,-3.0593,0.0,0.99935319,ok,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_event_timeline/w18_024_street_rain_crosswalk_001_dss_event_timeline.flac,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_event_timeline/w18_024_street_rain_crosswalk_001_dss_event_timeline.wav
street_rain_crosswalk_001,dss_layer_avoid,w18_025_street_rain_crosswalk_001_dss_layer_avoid,9.0,969,True,528897,True,788558,44100,8.9397,-16.1286,-2.8684,0.0,0.99949523,ok,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_layer_avoid/w18_025_street_rain_crosswalk_001_dss_layer_avoid.flac,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_layer_avoid/w18_025_street_rain_crosswalk_001_dss_layer_avoid.wav
subway_arrival_door_001,naive,w18_026_subway_arrival_door_001_naive,10.0,229,True,418229,True,882766,44100,10.0078,-22.3956,-4.9374,0.0,0.94106864,ok,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive/w18_026_subway_arrival_door_001_naive.flac,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive/w18_026_subway_arrival_door_001_naive.wav
subway_arrival_door_001,naive_rich,w18_027_subway_arrival_door_001_naive_rich,10.0,597,True,453011,True,882766,44100,10.0078,-15.7839,-0.2758,0.0,0.92633637,ok,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive_rich/w18_027_subway_arrival_door_001_naive_rich.flac,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive_rich/w18_027_subway_arrival_door_001_naive_rich.wav
subway_arrival_door_001,dss_global,w18_028_subway_arrival_door_001_dss_global,10.0,305,True,433075,True,882766,44100,10.0078,-16.0454,-0.1713,0.0,0.92586962,ok,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_global/w18_028_subway_arrival_door_001_dss_global.flac,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_global/w18_028_subway_arrival_door_001_dss_global.wav
subway_arrival_door_001,dss_event_timeline,w18_029_subway_arrival_door_001_dss_event_timeline,10.0,823,True,475339,True,882766,44100,10.0078,-9.6374,0.0,0.00260341,0.88923833,clipping_review,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_event_timeline/w18_029_subway_arrival_door_001_dss_event_timeline.flac,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_event_timeline/w18_029_subway_arrival_door_001_dss_event_timeline.wav
subway_arrival_door_001,dss_layer_avoid,w18_030_subway_arrival_door_001_dss_layer_avoid,10.0,967,True,467283,True,882766,44100,10.0078,-10.2822,0.0,0.00129831,0.89343687,clipping_review,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_layer_avoid/w18_030_subway_arrival_door_001_dss_layer_avoid.flac,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_layer_avoid/w18_030_subway_arrival_door_001_dss_layer_avoid.wav
