case_id,strategy_id,artifact_digest,feature_schema_version,event_coverage,priority_weighted_coverage,onset_error_ms,tolerance_violation_count,event_window_energy,outside_window_energy,clip_ratio,silence_ratio,peak_abs,duration_error_ms,changed_sample_ratio,repair_action_count,source_reliability
fb_011_semantic_repair,D,sha256:d2dcef398a6c1f178bb6a391d34732bdbf77d93743b074c155ff542483d738e9,preference-features-v1,0.0,0.0,7000.0,3,0.0,0.0661885189559741,0.0,0.006875,0.0936279296875,6000.0,0.0,1.0,1.0
fb_011_tuesday_repair,A,sha256:ac239dba3cdee9abc85bf597d2d37eeff3f135d9f1b0c86f10f1cedbc88481bf,preference-features-v1,0.0,0.0,7000.0,3,0.0,0.05609250568610967,0.0,0.00875,0.079345703125,6000.0,0.0,0.0,1.0
fb_011_tuesday_repair,B,sha256:ac239dba3cdee9abc85bf597d2d37eeff3f135d9f1b0c86f10f1cedbc88481bf,preference-features-v1,0.0,0.0,7000.0,3,0.0,0.05609250568610967,0.0,0.00875,0.079345703125,6000.0,0.0,0.0,1.0
fb_011_tuesday_repair,C,sha256:ac239dba3cdee9abc85bf597d2d37eeff3f135d9f1b0c86f10f1cedbc88481bf,preference-features-v1,0.0,0.0,7000.0,3,0.0,0.05609250568610967,0.0,0.00875,0.079345703125,6000.0,0.0,0.0,1.0
fb_011_tuesday_repair,D,sha256:776499a69290a81cf419ec64133f8b06a4874b769d3ffb0eacd3de422d59dfe9,preference-features-v1,0.0,0.0,7000.0,3,0.0,0.06618898667508255,0.0,0.00625,0.0936279296875,6000.0,0.0,1.0,1.0
fb_006_tuesday_repair,A,sha256:904c785320b7f06981bf3fb456911292df7fa29e048ae72a66e5b8e9124b6364,preference-features-v1,0.0,0.0,10000.0,3,0.0,0.05609203398342367,0.0,0.008125,0.079345703125,9000.0,0.0,0.0,1.0
fb_006_tuesday_repair,B,sha256:904c785320b7f06981bf3fb456911292df7fa29e048ae72a66e5b8e9124b6364,preference-features-v1,0.0,0.0,10000.0,3,0.0,0.05609203398342367,0.0,0.008125,0.079345703125,9000.0,0.0,0.0,1.0
fb_006_tuesday_repair,C,sha256:65786473598076b752b319930eb261f27e2b79dfbdfe7da1acfe3fe41289103d,preference-features-v1,0.0,0.0,1926.6666666666667,3,0.08229271942148661,0.001280408207328383,0.0,0.4304774002039627,0.98828125,38.63945578231309,0.0,0.0,1.0
fb_006_tuesday_repair,D,sha256:49e1d5406dd8f0626f38bc43a47ce80c02a2f014651568931305016e6ee30fde,preference-features-v1,0.0,0.0,1926.6666666666667,3,0.0742131688234519,0.0011549483836728262,0.0,0.4727245410839161,0.891204833984375,38.63945578231309,0.0,1.0,1.0
fb_007_tuesday_repair,A,sha256:0fa297b7ee3fecbac7edbe3d5032db1be07f27e7e3c729b628445a412b6fae39,preference-features-v1,0.0,0.0,4686.666666666667,3,0.0,0.05609221983824223,0.0,0.0075,0.079345703125,9000.0,0.0,0.0,1.0
fb_007_tuesday_repair,B,sha256:0fa297b7ee3fecbac7edbe3d5032db1be07f27e7e3c729b628445a412b6fae39,preference-features-v1,0.0,0.0,4686.666666666667,3,0.0,0.05609221983824223,0.0,0.0075,0.079345703125,9000.0,0.0,0.0,1.0
fb_007_tuesday_repair,C,sha256:5b222294d3d882aef051e4eebc7eb88cac5b2c8dd92c61ecb10b45d902b5525a,preference-features-v1,0.0,0.0,746.6666666666665,3,0.15608373479226104,0.007303687730440573,0.0,0.22462303321678323,0.99609375,38.63945578231309,0.0,0.0,1.0
fb_007_tuesday_repair,D,sha256:cf299864a1529d942c49ee4fe9a6c011743874630e6f76c9e3a8e8970bfa48b4,preference-features-v1,0.0,0.0,746.6666666666665,3,0.13965532431915345,0.0065348842954350604,0.0,0.2380422312062937,0.891204833984375,38.63945578231309,0.0,1.0,1.0
fb_002_tuesday_repair,A,sha256:5688631aa7ae39d6f0fa1b88a6e96cc2d37ae11cfbfe5b1a83c5171b84fec81a,preference-features-v1,0.0,0.0,11000.0,3,0.0,0.05609203398342367,0.0,0.008125,0.079345703125,10000.0,0.0,0.0,1.0
fb_002_tuesday_repair,B,sha256:5688631aa7ae39d6f0fa1b88a6e96cc2d37ae11cfbfe5b1a83c5171b84fec81a,preference-features-v1,0.0,0.0,11000.0,3,0.0,0.05609203398342367,0.0,0.008125,0.079345703125,10000.0,0.0,0.0,1.0
fb_002_tuesday_repair,C,sha256:ee86e7336556491776f67ec3c79fb715ced9cf194dfabc33ec00103859de1f21,preference-features-v1,0.0,0.0,11000.0,3,0.2267077914632248,0.16988259146276236,0.0,0.21769186847447797,0.980010986328125,992.19954648526,0.0,0.0,1.0
fb_002_tuesday_repair,D,sha256:1fbf8afdf9fe2de7481e3519ea12e7350020f18fe5fccce2dfdad65f9fbfe22d,preference-features-v1,0.0,0.0,11000.0,3,0.2061749377514649,0.15449636745894543,0.0,0.2185664696925754,0.891204833984375,992.19954648526,0.0,1.0,1.0
fb_003_semantic_repair,A,sha256:6c5e3331bb27ccc1f72d25601390b70a939bcf2afc75dffa8f5c97cd38a71313,preference-features-v1,0.0,0.0,11000.0,3,0.0,0.05609250568610967,0.0,0.00875,0.079345703125,10000.0,0.0,0.0,1.0
fb_003_semantic_repair,B,sha256:6c5e3331bb27ccc1f72d25601390b70a939bcf2afc75dffa8f5c97cd38a71313,preference-features-v1,0.0,0.0,11000.0,3,0.0,0.05609250568610967,0.0,0.00875,0.079345703125,10000.0,0.0,0.0,1.0
fb_003_semantic_repair,C,sha256:9df53f63f62082020f8defa57bd00f3a4a0f430698126e767ae365ebfc078076,preference-features-v1,0.0,0.0,11000.0,3,0.07763500254019041,0.06537933651251554,0.0,0.21984438442575405,0.44140625,992.19954648526,0.0,0.0,1.0
fb_003_semantic_repair,D,sha256:923f175e84fb1678dd4d3c17a1df04c1669be49e8f130f16dbed429bae4a835d,preference-features-v1,0.0,0.0,11000.0,3,0.091609302337577,0.07714763961205616,0.0,0.21743809817285384,0.5208740234375,992.19954648526,0.0,1.0,1.0
fb_004_transplant_v1,A,sha256:918f31f60ee948b8f0517216852edbf7f04de614a11bd6e37b21cfa04b02a0bf,preference-features-v1,0.0,0.0,4500.0,3,0.0,0.0560912828061415,0.0,0.009375,0.079345703125,10000.0,0.0,0.0,1.0
fb_004_transplant_v1,B,sha256:918f31f60ee948b8f0517216852edbf7f04de614a11bd6e37b21cfa04b02a0bf,preference-features-v1,0.0,0.0,4500.0,3,0.0,0.0560912828061415,0.0,0.009375,0.079345703125,10000.0,0.0,0.0,1.0
fb_004_transplant_v1,C,sha256:65e8287b36bea92de3cff2aa411e5cce60ec9f48b7e33147d6298a666572a3c5,preference-features-v1,0.6666666666666666,0.5833333333333334,233.3333333333334,1,0.16504434768779339,0.09813395822851101,0.0,0.1902370939675174,0.96484375,992.19954648526,0.0,1.0,0.8
fb_004_transplant_v1,D,sha256:8a005ac152a326d483723582e89732dbad7edde50c0314814621c3403d800836,preference-features-v1,0.6666666666666666,0.5833333333333334,233.3333333333334,1,0.16488849401289363,0.09813395822851101,0.0,0.1902257649361949,0.96484375,992.19954648526,0.0,1.0,0.8
fb_005_transplant_v1,A,sha256:50a017c1c5b9994e49a37446e3af9777796262bb6a1158c277c8bbdf12db549f,preference-features-v1,0.0,0.0,12000.0,3,0.0,0.05609323226402881,0.0,0.005,0.079345703125,11000.0,0.0,0.0,1.0
fb_005_transplant_v1,B,sha256:fd66f6a28daa8a3f08888100da2ea540a7745e333228761ee081289a8a7e4a07,preference-features-v1,0.0,0.0,12000.0,3,0.0,0.057743633251664275,0.0,0.005,0.08172607421875,11000.0,0.0,0.0,1.0
fb_005_transplant_v1,C,sha256:29956405f600760a071c699af399b638d09b830afb6c408e527b7644d281b97b,preference-features-v1,0.3333333333333333,0.4166666666666667,1066.6666666666663,2,0.10922464989828193,0.051619676796191095,0.0,0.1447306409512761,0.7171630859375,1992.19954648526,0.0,1.0,0.8
fb_005_transplant_v1,D,sha256:264c9ae21730dda35c2d1e14e972535f1533758ef3240525f5f184df08134249,preference-features-v1,0.3333333333333333,0.4166666666666667,1066.6666666666663,2,0.10803059480617624,0.051619676796191095,0.0,0.1447419699825986,0.7171630859375,1992.19954648526,0.0,1.0,0.8
