case_id,candidate_id,candidate_path,model_family,event_count,duration_s,rms,peak,clip_rate,silence_ratio
forest_bird_branch_001,forest_bird_branch_001__control_rule_foley_v0,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/forest_bird_branch_001/forest_bird_branch_001__control_rule_foley_v0.wav,control_rule_foley_v0,4,8.0,0.094121,0.421477,0.0,0.055258
glass_drop_room_001,glass_drop_room_001__control_rule_foley_v0,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/glass_drop_room_001/glass_drop_room_001__control_rule_foley_v0.wav,control_rule_foley_v0,4,7.0,0.104646,0.409921,0.0,0.07772
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__control_rule_foley_v0,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/kitchen_chop_sizzle_001/kitchen_chop_sizzle_001__control_rule_foley_v0.wav,control_rule_foley_v0,4,10.0,0.110789,0.385649,0.0,0.064085
robot_warehouse_pick_001,robot_warehouse_pick_001__control_rule_foley_v0,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/robot_warehouse_pick_001/robot_warehouse_pick_001__control_rule_foley_v0.wav,control_rule_foley_v0,4,11.0,0.064428,0.340189,0.0,0.075102
street_rain_crosswalk_001,street_rain_crosswalk_001__control_rule_foley_v0,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/street_rain_crosswalk_001/street_rain_crosswalk_001__control_rule_foley_v0.wav,control_rule_foley_v0,4,9.0,0.069073,0.421814,0.0,0.057109
subway_arrival_door_001,subway_arrival_door_001__control_rule_foley_v0,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/subway_arrival_door_001/subway_arrival_door_001__control_rule_foley_v0.wav,control_rule_foley_v0,4,12.0,0.044136,0.316499,0.0,0.056524
