candidateId,assetTimeMode,audioUri,sampleRate,durationSec,expectedStartSec,globalStartSec,localOnsetSec,globalOnsetSec,onsetDeltaSec,localPeakSec,globalPeakSec,peakDeltaSec,rmsMedian,rmsP90,rmsPeak,adaptiveThreshold,toleranceSec,alignmentStatus,error
procedural_v0_0001,full_clip,artifacts/audio_candidates/week12_procedural_baseline_v0/0001_slot_v0_0001_generation_fallback.wav,16000,8.0,0.0,0.0,0.20499999821186066,0.20499999821186066,0.20499999821186066,0.23499999940395355,0.23499999940395355,0.23499999940395355,0.015120936557650566,0.016482208855450153,0.019026318565011024,0.015902012959122656,0.25,PASS,
procedural_v0_0002,event_local,artifacts/audio_candidates/week12_procedural_baseline_v0/0002_slot_v0_0002_generation_fallback.wav,16000,4.32,1.44,1.44,0.23499999940395355,1.6749999994039535,0.23499999940395355,2.734999895095825,4.174999895095825,2.7349998950958248,0.0007085857796482742,0.006994726229459061,0.031488094478845596,0.006864487519487739,0.25,PASS,
procedural_v0_0003,full_clip,artifacts/audio_candidates/week12_procedural_baseline_v0/0003_slot_v0_0003_generation_fallback.wav,16000,8.0,0.0,0.0,0.10499999672174454,0.10499999672174454,0.10499999672174454,4.585000038146973,4.585000038146973,4.585000038146973,0.006732434965670109,0.00752376695163548,0.008898048661649227,0.0071655577048659325,0.25,PASS,
procedural_v0_0004,event_local,artifacts/audio_candidates/week15_temporal_alignment_remediated/procedural_v0_0004_trimmed_preroll_20ms.wav,16000,2.285,1.44,1.44,0.02500000037252903,1.465000000372529,0.02500000037252903,0.054999999701976776,1.4949999997019767,0.054999999701976776,0.0007218223763629794,0.001263567665591837,0.04095000401139259,0.008767458703368902,0.25,PASS,
procedural_v0_0005,full_clip,artifacts/audio_candidates/week12_procedural_baseline_v0/0005_slot_v0_0005_generation_fallback.wav,16000,8.0,0.0,0.0,0.0949999988079071,0.0949999988079071,0.0949999988079071,5.485000133514404,5.485000133514404,5.485000133514404,0.006625729613006115,0.008012776728719473,0.010772958397865295,0.007455175369977951,0.25,PASS,
procedural_v0_0006,event_local,artifacts/audio_candidates/week12_procedural_baseline_v0/0006_slot_v0_0006_generation_fallback.wav,16000,4.32,1.44,1.44,0.13500000536441803,1.575000005364418,0.13500000536441803,2.694999933242798,4.134999933242797,2.6949999332427974,0.0007294238894246519,0.030245298705995086,0.04412104934453964,0.00940774898044765,0.25,PASS,
procedural_v0_0007,full_clip,artifacts/audio_candidates/week12_procedural_baseline_v0/0007_slot_v0_0007_generation_fallback.wav,16000,8.0,0.0,0.0,0.3050000071525574,0.3050000071525574,0.3050000071525574,3.575000047683716,3.575000047683716,3.575000047683716,0.006843782961368561,0.0076145564671605825,0.008577082306146622,0.007190442830324173,0.25,WARN_NEAR_MISS,
procedural_v0_0008,event_local,artifacts/audio_candidates/week12_procedural_baseline_v0/0008_slot_v0_0008_generation_fallback.wav,16000,4.32,1.44,1.44,0.22499999403953552,1.6649999940395355,0.22499999403953552,3.3949999809265137,4.834999980926513,3.3949999809265132,0.0008411635644733906,0.03087682109326124,0.043573178350925446,0.009387566521763802,0.25,PASS,
procedural_v0_0009,full_clip,artifacts/audio_candidates/week12_procedural_baseline_v0/0009_slot_v0_0009_generation_fallback.wav,16000,8.0,0.0,0.0,0.125,0.125,0.125,2.825000047683716,2.825000047683716,2.825000047683716,0.01525829080492258,0.016443921253085136,0.017613010480999947,0.015729234740138053,0.25,PASS,
procedural_v0_0010,event_local,artifacts/audio_candidates/week15_temporal_alignment_remediated/procedural_v0_0010_trimmed_preroll_20ms.wav,16000,3.215,1.2,1.2,0.02500000037252903,1.225000000372529,0.02500000037252903,0.054999999701976776,1.2549999997019767,0.054999999701976776,0.0006795395747758448,0.0012482318561524157,0.03085402585566044,0.006714436830952764,0.25,PASS,
